"term","coefficient","std_error","OR","CI_lower","CI_upper","z_value","p_value","OR_CI","p_formatted","sensitivity_role"
"age_group25-34",0.170207637356291,0.049617897947341,1.18555099043905,1.07568380537631,1.30663968715166,3.43036775836274,0.000602763701423805,"1.19 (1.08-1.31)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"age_group35-49",0.316236064367327,0.0758404510002452,1.37195408687555,1.18245026394055,1.59182848860115,4.16975453332028,3.04927887827642e-05,"1.37 (1.18-1.59)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"educationSecondary",1.06874066460153,0.0732599220497862,2.91171037019013,2.522249639514,3.36130775758832,14.5883401824429,3.33206097771984e-48,"2.91 (2.52-3.36)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"educationPrimary",1.66241681422124,0.0921803824232018,5.27203699386469,4.40061042682859,6.31602695281267,18.0343883429454,1.04646949675929e-72,"5.27 (4.40-6.32)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"educationNo education",1.64868382865142,0.129815161144977,5.20013105758451,4.03193380332141,6.70679736700511,12.7002409742432,5.89479182105822e-37,"5.20 (4.03-6.71)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"wealthRicher",0.384073999764729,0.0856842908788312,1.46825408811912,1.24126719548426,1.7367494082831,4.48243191167748,7.37971922666138e-06,"1.47 (1.24-1.74)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"wealthMiddle",0.557510914636629,0.0873657900683255,1.74632034568872,1.47148775336172,2.07248394884651,6.38134118858905,1.75543707953826e-10,"1.75 (1.47-2.07)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"wealthPoorer",0.578480684717242,0.108042768545395,1.78332693559624,1.44298929092568,2.20393524693654,5.3541823530206,8.5944154166688e-08,"1.78 (1.44-2.20)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"wealthPoorest",0.808197099757633,0.105225681965175,2.24385888398337,1.82568409451349,2.75781703218092,7.6806069075904,1.58336645538534e-14,"2.24 (1.83-2.76)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"residenceRural",0.306801506442925,0.0674865628144122,1.35907117442499,1.19068389452412,1.55127189142936,4.54611249481809,5.464583680629e-06,"1.36 (1.19-1.55)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"divisionBarishal",0.260864969408355,0.105567821100746,1.29805237681887,1.05543398238115,1.59644279139444,2.47106520422929,0.0134711253876759,"1.30 (1.06-1.60)","0.013","Supplementary only; primary model is survey quasi-Poisson."
"divisionChattogram",0.296972489057907,0.0992566673617132,1.34577827531061,1.10785910759452,1.63479196396234,2.99196514402074,0.00277187909476878,"1.35 (1.11-1.63)","0.003","Supplementary only; primary model is survey quasi-Poisson."
"divisionKhulna",0.0536521438500334,0.103056298304462,1.0551175091965,0.862139489342779,1.2912909940614,0.520610042595626,0.602638451999019,"1.06 (0.86-1.29)","0.603","Supplementary only; primary model is survey quasi-Poisson."
"divisionMymensingh",0.174440950027134,0.099788815056604,1.19058043656678,0.979076863296682,1.44777374389453,1.74810122685779,0.0804465005985292,"1.19 (0.98-1.45)","0.080","Supplementary only; primary model is survey quasi-Poisson."
"divisionRajshahi",0.12522791570592,0.0987041463702828,1.13340674482968,0.934043553037034,1.37532221602355,1.26871991006472,0.204540978734403,"1.13 (0.93-1.38)","0.205","Supplementary only; primary model is survey quasi-Poisson."
"divisionRangpur",0.0783173161468365,0.107209449672239,1.08146577078102,0.876504706300584,1.33435474443408,0.730507584790972,0.465079978440009,"1.08 (0.88-1.33)","0.465","Supplementary only; primary model is survey quasi-Poisson."
"divisionSylhet",0.213997532018144,0.110366490896605,1.23861959789899,0.99768190081212,1.53774314944534,1.93897196766566,0.0525047516449194,"1.24 (1.00-1.54)","0.053","Supplementary only; primary model is survey quasi-Poisson."
"employmentWorking",-0.178471941879617,0.0572596458613012,0.836547528499367,0.747739332453493,0.935903378443618,-3.11688867779457,0.00182770574231383,"0.84 (0.75-0.94)","0.002","Supplementary only; primary model is survey quasi-Poisson."
"employmentNot reported / not applicable",-2.02830423404844,0.214121951180201,0.13155842439594,0.0864677939750772,0.200162606606234,-9.47265902850596,2.72808987512933e-21,"0.13 (0.09-0.20)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"husband_educationSecondary",0.193043309832537,0.0875935911842377,1.21293532440734,1.02158962608802,1.44012043938706,2.20385198531825,0.0275347552148411,"1.21 (1.02-1.44)","0.028","Supplementary only; primary model is survey quasi-Poisson."
"husband_educationPrimary",0.461143622602711,0.0922774215048039,1.58588660408661,1.32350017704233,1.90029163928169,4.99736138139387,5.81200889463544e-07,"1.59 (1.32-1.90)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"husband_educationNo education",0.532066375897719,0.102447219915481,1.70244657103605,1.39273553628918,2.08102992399744,5.19356578281647,2.06303998641412e-07,"1.70 (1.39-2.08)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"husband_educationNot reported / not applicable",-0.336729798831824,0.218177571149654,0.714101764968348,0.465632846575213,1.09515755703574,-1.5433749539766,0.122739826987879,"0.71 (0.47-1.10)","0.123","Supplementary only; primary model is survey quasi-Poisson."
"Low (0-1)|Medium (2-3)",1.57997392280774,0.0951447126637718,4.85482920927205,4.02888751099406,5.85009300629138,16.606008663783,6.30513196373032e-62,"4.85 (4.03-5.85)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
"Medium (2-3)|High (>=4)",4.08474969054444,0.103817863885846,59.4270607341749,48.4855917907543,72.8376290165596,39.3453451810168,0,"59.43 (48.49-72.84)","<0.001","Supplementary only; primary model is survey quasi-Poisson."
