term,estimate,std_error,effect,ci_lower,ci_upper,p_value,p_formatted,effect_ci
(Intercept),1.0928083802970388,0.04512333816974302,2.982638705303681,2.730177532997075,3.2584451153291165,1.429055081374583e-129,<0.001,2.98 (2.73-3.26)
age_group25-34,-0.007975630035470183,0.017439005334812654,0.9920560909142215,0.9587201313846169,1.0265511855880465,0.6474235786201821,0.647,0.99 (0.96-1.03)
age_group35-49,0.04709769032394261,0.025409929448822574,1.0482244054597403,0.9972978859043238,1.101751462357795,0.06380855034911652,0.064,1.05 (1.00-1.10)
educationPrimary,-0.023186440829060337,0.027627040070722784,0.9770802991294486,0.925579325784003,1.0314468834297215,0.40131994808884075,0.401,0.98 (0.93-1.03)
educationSecondary,-0.17982405355521297,0.031243814071328972,0.8354171871649578,0.7857929614030681,0.8881752712119485,8.638111174878219e-9,<0.001,0.84 (0.79-0.89)
educationHigher,-0.5782241458978019,0.04420480484110053,0.5608935477632492,0.5143426695456753,0.6116575399049341,4.252265161431176e-39,<0.001,0.56 (0.51-0.61)
wealthPoorer,-0.07604987774576594,0.02331850750982782,0.9267699802091024,0.8853660067989307,0.9701102025840929,0.0011088202011585013,0.001,0.93 (0.89-0.97)
wealthMiddle,-0.10972785914118492,0.025310545013588263,0.8960779615435011,0.8527093506454758,0.9416522904975092,1.455862201849622e-5,<0.001,0.90 (0.85-0.94)
wealthRicher,-0.17110773696126222,0.027910189294128862,0.8427307753276537,0.7978683197622093,0.8901157523036003,8.751809484737429e-10,<0.001,0.84 (0.80-0.89)
wealthRichest,-0.32295902865734133,0.036355947090493806,0.7240035171564365,0.6742079496924268,0.7774768794909961,6.493381892641817e-19,<0.001,0.72 (0.67-0.78)
residenceRural,0.1181967252617041,0.023428999580931174,1.1254654970849998,1.0749518674187999,1.1783528393418672,4.5378239747647715e-7,<0.001,1.13 (1.07-1.18)
divisionChattogram,-0.002641658226939779,0.04138782223185141,0.997361827881776,0.9196503000854875,1.081640070821714,0.9491080234966772,0.949,1.00 (0.92-1.08)
divisionDhaka,-0.09710795756462202,0.03725707079626524,0.9074580338856102,0.8435536151297188,0.9762036087497595,0.009149144723931291,0.009,0.91 (0.84-0.98)
divisionKhulna,-0.0707088314111523,0.04018423905473303,0.9317331440603932,0.8611643242660151,1.008084783912274,0.07847293081855085,0.078,0.93 (0.86-1.01)
divisionMymensingh,-0.018490895953245188,0.035378962858892436,0.98167901180273065,0.9159132141661144,1.0521670255531501,0.6012162451050502,0.601,0.98 (0.92-1.05)
divisionRajshahi,-0.02725638885360844,0.040392859876146436,0.973111714540811,0.8990412203643714,1.0532847521638329,0.4998140565202564,0.500,0.97 (0.90-1.05)
divisionRangpur,-0.07796270167151531,0.03707596645787401,0.9249989268139543,0.8601645284089774,0.9947201800911154,0.035484767039377516,0.035,0.92 (0.86-0.99)
divisionSylhet,0.026238138864507973,0.04025909202840375,1.0265853892457784,0.9486933316795773,1.1108727406643724,0.5145740706532291,0.515,1.03 (0.95-1.11)
employmentWorking,-0.04383334976193621,0.018249925927250724,0.957113447367021,0.9234827074059919,0.9919689278253608,0.01631296957788426,0.016,0.96 (0.92-0.99)
husband_educationPrimary,-0.018590548888851317,0.022966769489934487,0.9815811894816033,0.938375193305127,1.0267765371657922,0.41825391531630557,0.418,0.98 (0.94-1.03)
husband_educationSecondary,-0.0917634447772015,0.02421175298350255,0.9123209383039294,0.8700379212629433,0.9566588698335772,1.5062471802298688e-4,<0.001,0.91 (0.87-0.96)
husband_educationHigher,-0.21300268885474566,0.03584675421091602,0.808153964204945,0.7533221451174988,0.8669768094475688,2.8150430191598166e-9,<0.001,0.81 (0.75-0.87)
