variable,n_total,n_missing,n_nonmissing,missing_percent
underweight,11657,7776,3881,66.7066998370078
stunted_height,11657,7777,3880,66.71527837350948
high_parity,11657,0,11657,0
adolescent_birth,11657,0,11657,0
short_interval,11657,4182,7475,35.87543964999571
home_delivery,11657,6672,4985,57.235995539161024
distance_problem,11657,3905,7752,33.49918503903234
low_autonomy,11657,4017,7640,34.4599811272197
inadequate_anc,11657,6673,4984,57.24457407566269
syndemic_score,11657,0,11657,0
syndemic_tertile,11657,0,11657,0
age_group,11657,0,11657,0
education,11657,0,11657,0
wealth,11657,0,11657,0
residence,11657,0,11657,0
division,11657,0,11657,0
employment,11657,3905,7752,33.49918503903234
husband_education,11657,4031,7626,34.58008063824312
