term,OR,CI_lower,CI_upper,OR_CI,p_value,p_formatted,sensitivity_role
age_group25-34,0.9944623631752874,0.8688606550472152,1.1382209402938561,0.99 (0.87-1.14),0.9357520512841051,0.936,Supplementary only; primary model is survey quasi-Poisson.
age_group35-49,1.1252988555592627,0.9427753206201227,1.343159379150976,1.13 (0.94-1.34),0.19108261989382033,0.191,Supplementary only; primary model is survey quasi-Poisson.
educationPrimary,0.8798261067580369,0.6948287716589135,1.1140787625774968,0.88 (0.69-1.11),0.28776233967478376,0.288,Supplementary only; primary model is survey quasi-Poisson.
educationSecondary,0.5264219591012161,0.41012248576052257,0.6757007690277619,0.53 (0.41-0.68),4.7125367546360424e-7,<0.001,Supplementary only; primary model is survey quasi-Poisson.
educationHigher,0.22108559405256603,0.1639646716607566,0.29810592368767397,0.22 (0.16-0.30),4.3125569165305094e-23,<0.001,Supplementary only; primary model is survey quasi-Poisson.
wealthPoorer,0.7671311825812046,0.6374840233331676,0.9231450981491901,0.77 (0.64-0.92),0.0050059750278893,0.005,Supplementary only; primary model is survey quasi-Poisson.
wealthMiddle,0.6944285843671565,0.5714787626503763,0.8438302353524132,0.69 (0.57-0.84),2.4449721099968554e-4,<0.001,Supplementary only; primary model is survey quasi-Poisson.
wealthRicher,0.5997560516785134,0.4924741662346898,0.7304085090903637,0.60 (0.49-0.73),3.690196540402991e-7,<0.001,Supplementary only; primary model is survey quasi-Poisson.
wealthRichest,0.39828379563390715,0.31223347066578394,0.5080492540607543,0.40 (0.31-0.51),1.2373299544142007e-13,<0.001,Supplementary only; primary model is survey quasi-Poisson.
residenceRural,1.366964113693394,1.1739099762314706,1.5917667674349152,1.37 (1.17-1.59),5.718951763865155e-5,<0.001,Supplementary only; primary model is survey quasi-Poisson.
divisionChattogram,1.0974002332575996,0.8026962068029302,1.5003026820699783,1.10 (0.80-1.50),0.5602104360383727,0.560,Supplementary only; primary model is survey quasi-Poisson.
divisionDhaka,0.7357816037506673,0.5688751117708432,0.9516580304113971,0.74 (0.57-0.95),0.019413862602148106,0.019,Supplementary only; primary model is survey quasi-Poisson.
divisionKhulna,0.8074939605477686,0.6035970590291377,1.0802678485046173,0.81 (0.60-1.08),0.14986228635242574,0.150,Supplementary only; primary model is survey quasi-Poisson.
divisionMymensingh,0.9480891056889954,0.7167257891654091,1.2541378668302854,0.95 (0.72-1.25),0.7087956305937096,0.709,Supplementary only; primary model is survey quasi-Poisson.
divisionRajshahi,0.9414518392659365,0.7084129205006185,1.2511510448325323,0.94 (0.71-1.25),0.67755890570108,0.678,Supplementary only; primary model is survey quasi-Poisson.
divisionRangpur,0.812657417711346,0.6138698381738229,1.0758177670463611,0.81 (0.61-1.08),0.1472278814666443,0.147,Supplementary only; primary model is survey quasi-Poisson.
divisionSylhet,1.1427979478335086,0.8488653964012796,1.5385091147655952,1.14 (0.85-1.54),0.37892149177457024,0.379,Supplementary only; primary model is survey quasi-Poisson.
employmentWorking,0.8112531346762117,0.7178488529212256,0.9168108938863219,0.81 (0.72-0.92),8.031778599372375e-4,<0.001,Supplementary only; primary model is survey quasi-Poisson.
husband_educationPrimary,0.8820603092559852,0.7282010122609064,1.068428052234023,0.88 (0.73-1.07),0.19941857493263854,0.199,Supplementary only; primary model is survey quasi-Poisson.
husband_educationSecondary,0.7215661429892088,0.5915531050418895,0.8801537753258082,0.72 (0.59-0.88),0.001284531122766069,0.001,Supplementary only; primary model is survey quasi-Poisson.
husband_educationHigher,0.51633156121697,0.39781511938384656,0.6701562311700788,0.52 (0.40-0.67),6.750304483673018e-7,<0.001,Supplementary only; primary model is survey quasi-Poisson.
Low (0)|Medium (1-3),0.028356653677816014,0.019635289764584198,0.04095176681598742,0.03 (0.02-0.04),1.693149868930665e-80,<0.001,Supplementary only; primary model is survey quasi-Poisson.
Medium (1-3)|High (>=4),1.733917401874527,1.2271898407437731,2.4498813930053025,1.73 (1.23-2.45),0.0018031307905027002,0.002,Supplementary only; primary model is survey quasi-Poisson.
