"wealth","residence","syndemic_score","se","ci_lower","ci_upper","mean_ci"
"Poorest","Rural",2.10145037698716,0.0407028527061095,2.02167278568319,2.18122796829114,"2.10 (2.02–2.18)"
"Poorest","Urban",2.02266439747686,0.100635029433221,1.82541973978775,2.21990905516598,"2.02 (1.83–2.22)"
"Poorer","Rural",1.8570379658157,0.0482810004022652,1.76240720502726,1.95166872660414,"1.86 (1.76–1.95)"
"Poorer","Urban",1.8100253855501,0.0949644708179381,1.62389502274695,1.99615574835326,"1.81 (1.62–2.00)"
"Middle","Rural",1.69665344832502,0.0384516693760557,1.62128817634795,1.77201872030209,"1.70 (1.62–1.77)"
"Middle","Urban",1.67801823887511,0.0645570568095468,1.5514864075284,1.80455007022183,"1.68 (1.55–1.80)"
"Richer","Rural",1.53084996749502,0.0418867037201235,1.44875202820358,1.61294790678646,"1.53 (1.45–1.61)"
"Richer","Urban",1.37544820355905,0.0461346009215262,1.28502438575286,1.46587202136524,"1.38 (1.29–1.47)"
"Richest","Rural",1.25390919668063,0.0501253680053827,1.15566347539008,1.35215491797118,"1.25 (1.16–1.35)"
"Richest","Urban",0.935108950418956,0.035321656463276,0.865878503750935,1.00433939708698,"0.94 (0.87–1.00)"
