"metric","value","note"
"n_complete",11657,"Complete cases after recoding blank employment and husband education."
"syndemic_score_min",0,"Integer count check."
"syndemic_score_max",8,"Observed maximum; theoretical maximum is 9."
"raw_mean",1.63215235480827,"Unweighted mean."
"raw_variance",2.0081219369782,"Unweighted variance."
"raw_variance_mean_ratio",1.23035201405208,"Unweighted variance divided by unweighted mean."
"svyglm_quasipoisson_phi",0.769890255893104,"Final design-based quasi-Poisson dispersion from svyglm full model."
"diagnostic_weighted_glm_quasipoisson_phi",1.08433196241076,"Comparable exploratory weighted GLM dispersion from the age, education, wealth, and residence diagnostic model."
"observed_zero_percent",24.0144269542657,"Survey-weighted percentage with syndemic_score == 0."
"poisson_expected_zero_percent",27.0694360962739,"Survey-weighted expected zero percentage from Poisson svyglm."
"negative_binomial_expected_zero_percent",22.8827744842652,"Weighted expected zero percentage from diagnostic NB model."
"negative_binomial_theta",22.5790508595215,"Negative binomial diagnostic used a simpler model because full survey NB is not available in svyglm."
