"variable","category","n","weighted_percent","ci_lower","ci_upper","percent_ci","variable_label"
"age","Mean (years)",11657,NA,NA,NA,"26.7 (26.6–26.9)","Age (years)"
"age_group","15–24",4552,40.0233281794084,38.9300929635836,41.1165633952332,"40.0 (38.9–41.1)","Age group"
"age_group","25–34",5686,48.0577827890391,46.9892220711131,49.1263435069651,"48.1 (47.0–49.1)","Age group"
"age_group","35–49",1419,11.9188890315524,11.1996611189828,12.6381169441221,"11.9 (11.2–12.6)","Age group"
"education","No ",707,6.06866807591073,5.33309063502392,6.80424551679754,"6.1 (5.3–6.8)","Education level"
"education","Primary",2690,22.6927870995117,21.5039587673766,23.8816154316468,"22.7 (21.5–23.9)","Education level"
"education","Secondary",6075,53.6247824199355,52.2962265327883,54.9533383070827,"53.6 (52.3–55.0)","Education level"
"education","Higher",2185,17.6137624046421,16.3561776226034,18.8713471866808,"17.6 (16.4–18.9)","Education level"
"wealth","Poorest",2467,20.839595231119,19.3868350983823,22.2923553638557,"20.8 (19.4–22.3)","Wealth quintile"
"wealth","Poorer",2300,20.2406918896826,19.0845598684416,21.3968239109236,"20.2 (19.1–21.4)","Wealth quintile"
"wealth","Middle",2283,20.2550830045415,19.0880447453677,21.4221212637153,"20.3 (19.1–21.4)","Wealth quintile"
"wealth","Richer",2281,19.5991750942175,18.3396065947945,20.8587435936405,"19.6 (18.3–20.9)","Wealth quintile"
"wealth","Richest",2326,19.0654547804393,17.2925198969651,20.8383896639136,"19.1 (17.3–20.8)","Wealth quintile"
"residence","Urban",3950,27.7709167897258,26.3037687535374,29.2380648259143,"27.8 (26.3–29.2)","Residence type"
"residence","Rural",7707,72.2290832102742,70.7619351740857,73.6962312464626,"72.2 (70.8–73.7)","Residence type"
"division","Barishal",1311,6.44010937460107,5.88635426414829,6.99386448505384,"6.4 (5.9–7.0)","Administrative division"
"division","Chattogram",1932,20.8987807104088,19.3430531842195,22.4545082365981,"20.9 (19.3–22.5)","Administrative division"
"division","Dhaka",1793,25.5489228508685,24.1529957431446,26.9448499585923,"25.5 (24.2–26.9)","Administrative division"
"division","Khulna",1333,10.4604253113144,9.76076894933099,11.1600816732978,"10.5 (9.8–11.2)","Administrative division"
"division","Mymensingh",1353,8.23617418659166,7.69955427913622,8.77279409404709,"8.2 (7.7–8.8)","Administrative division"
"division","Rajshahi",1218,10.7570058665084,9.78713711467117,11.7268746183456,"10.8 (9.8–11.7)","Administrative division"
"division","Rangpur",1382,11.3430598277252,10.5987408763683,12.087378779082,"11.3 (10.6–12.1)","Administrative division"
"division","Sylhet",1335,6.31552187198208,5.90199517415249,6.72904856981168,"6.3 (5.9–6.7)","Administrative division"
"employment","Not working",5786,73.6227308802139,72.0601124246846,75.1853493357432,"73.6 (72.1–75.2)","Employment status"
"employment","Working",1966,26.3772691197861,24.8146506642568,27.9398875753154,"26.4 (24.8–27.9)","Employment status"
"husband_education","No education",1171,15.5245823986774,14.3222849445517,16.7268798528032,"15.5 (14.3–16.7)","Husband's education"
"husband_education","Primary",2302,30.0492544791784,28.573087084905,31.5254218734517,"30.0 (28.6–31.5)","Husband's education"
"husband_education","Secondary",2626,35.2562312749289,33.8039645362348,36.708498013623,"35.3 (33.8–36.7)","Husband's education"
"husband_education","Higher",1527,19.1699318472153,17.6457497187571,20.6941139756735,"19.2 (17.6–20.7)","Husband's education"
