"covariate","category","mean_score","se_score","ci_lower","ci_upper","mean_ci","p_value"
"age_group","15–24",1.58610427655484,0.0270299482631612,1.53312557795904,1.63908297515064,"1.59 (1.53–1.64)",4.04212462671498e-14
"age_group","25–34",1.63323702468266,0.0277786025164662,1.57879096375039,1.68768308561493,"1.63 (1.58–1.69)",4.04212462671498e-14
"age_group","35–49",1.90584810775639,0.050386720432638,1.80709013570842,2.00460607980436,"1.91 (1.81–2.00)",4.04212462671498e-14
"education","No education",2.26380182186343,0.0622637345859612,2.14176490207494,2.38583874165191,"2.26 (2.14–2.39)",1.81697414236034e-161
"education","Primary",2.13264569362808,0.0342125861793056,2.06558902471664,2.19970236253952,"2.13 (2.07–2.20)",1.81697414236034e-161
"education","Secondary",1.64128984844771,0.0227830867472552,1.59663499842309,1.68594469847233,"1.64 (1.60–1.69)",1.81697414236034e-161
"education","Higher",0.825420849566091,0.0268604987563744,0.772774272003597,0.878067427128585,"0.83 (0.77–0.88)",1.81697414236034e-161
"wealth","Poorest",2.09562569212787,0.0384347397612034,2.02029360219591,2.17095778205983,"2.10 (2.02–2.17)",2.57758229305112e-79
"wealth","Poorer",1.85037994960474,0.043636557257955,1.76485229737915,1.93590760183034,"1.85 (1.76–1.94)",2.57758229305112e-79
"wealth","Middle",1.69195210777933,0.0329931034361302,1.62728562504451,1.75661859051414,"1.69 (1.63–1.76)",2.57758229305112e-79
"wealth","Richer",1.47259697388201,0.0314098311377241,1.41103370485208,1.53416024291195,"1.47 (1.41–1.53)",2.57758229305112e-79
"wealth","Richest",1.07153155114104,0.0310823325581568,1.01061017932706,1.13245292295503,"1.07 (1.01–1.13)",2.57758229305112e-79
"residence","Urban",1.33894574471854,0.036623224710089,1.26716422428676,1.41072726515031,"1.34 (1.27–1.41)",9.85621069934106e-18
"residence","Rural",1.76525518171333,0.0257736649745219,1.71473879836327,1.8157715650634,"1.77 (1.71–1.82)",9.85621069934106e-18
"division","Barishal",1.7539631021742,0.060652097146674,1.63508499176672,1.87284121258168,"1.75 (1.64–1.87)",6.54267548993856e-10
"division","Chattogram",1.78412769885626,0.0622900826219636,1.66203913691721,1.9062162607953,"1.78 (1.66–1.91)",6.54267548993856e-10
"division","Dhaka",1.42709421863019,0.0436007630787267,1.34163672299588,1.51255171426449,"1.43 (1.34–1.51)",6.54267548993856e-10
"division","Khulna",1.51599454981252,0.0461743747270924,1.42549277534742,1.60649632427763,"1.52 (1.43–1.61)",6.54267548993856e-10
"division","Mymensingh",1.86739263472701,0.0557117921727362,1.75819752206845,1.97658774738558,"1.87 (1.76–1.98)",6.54267548993856e-10
"division","Rajshahi",1.61117779424728,0.0542430425575816,1.50486143083442,1.71749415766014,"1.61 (1.50–1.72)",6.54267548993856e-10
"division","Rangpur",1.68197270082924,0.0565279744540235,1.57117787089935,1.79276753075912,"1.68 (1.57–1.79)",6.54267548993856e-10
"division","Sylhet",1.89939991210455,0.0717405007124077,1.75878853070823,2.04001129350087,"1.90 (1.76–2.04)",6.54267548993856e-10
