"variable","category","term","reference_category","coefficient","std_error","t_value","p_value","IRR","CI_lower","CI_upper","IRR_CI","p_formatted","n"
"age_group","15-24","age_group15-24","15-24",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"age_group","25-34","age_group25-34","15-24",0.0448654267355627,0.0164343328415075,2.72998162859694,0.0065094309809968,1.04588710199626,1.01267284312108,1.08019074230406,"1.05 (1.01-1.08)","0.007",11657
"age_group","35-49","age_group35-49","15-24",0.131949140329293,0.0227781997329421,5.792781777151,1.08979384136129e-08,1.14105028434971,1.09113608512916,1.19324781680227,"1.14 (1.09-1.19)","<0.001",11657
"education","Higher","educationHigher","Higher",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"education","Secondary","educationSecondary","Higher",0.521303114146729,0.0296974228365872,17.5538166060822,1.56727313121971e-56,1.68422095247596,1.58881122817087,1.78536012741092,"1.68 (1.59-1.79)","<0.001",11657
"education","Primary","educationPrimary","Higher",0.702033733118894,0.0347097970883029,20.2258091953951,1.36468435123314e-70,2.01785231038101,1.88489829899494,2.16018442410452,"2.02 (1.88-2.16)","<0.001",11657
"education","No education","educationNo education","Higher",0.722136745122057,0.0416271086572345,17.3477517035418,1.79510929638242e-55,2.05882770406953,1.89722692429643,2.23419321155593,"2.06 (1.90-2.23)","<0.001",11657
"wealth","Richest","wealthRichest","Richest",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"wealth","Richer","wealthRicher","Richest",0.151657745830195,0.029436703252642,5.15199492716915,3.44455980904158e-07,1.16376186591275,1.09839792886559,1.23301550827892,"1.16 (1.10-1.23)","<0.001",11657
"wealth","Middle","wealthMiddle","Richest",0.214635268367389,0.0295568285318583,7.26178277672927,1.12188159611488e-12,1.23940976257104,1.16952106819265,1.31347489270142,"1.24 (1.17-1.31)","<0.001",11657
"wealth","Poorer","wealthPoorer","Richest",0.238104246193633,0.0351741762558386,6.76929132502741,2.9485212905836e-11,1.26884145782303,1.18415859405946,1.35958025653583,"1.27 (1.18-1.36)","<0.001",11657
"wealth","Poorest","wealthPoorest","Richest",0.329421890464026,0.0336247305740163,9.79701204560992,3.36692146963679e-21,1.39016422891787,1.30133775354175,1.48505380567275,"1.39 (1.30-1.49)","<0.001",11657
"residence","Urban","residenceUrban","Urban",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"residence","Rural","residenceRural","Urban",0.106652138022014,0.02330125417766,4.57709860631736,5.6729803564188e-06,1.11254717429734,1.06278764031395,1.16463644107806,"1.11 (1.06-1.16)","<0.001",11657
"division","Dhaka","divisionDhaka","Dhaka",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"division","Barishal","divisionBarishal","Dhaka",0.0749255461349339,0.0369774982725079,2.02624703225636,0.0431570010860267,1.07780390123099,1.00231525538721,1.15897791963664,"1.08 (1.00-1.16)","0.043",11657
"division","Chattogram","divisionChattogram","Dhaka",0.0908459611241924,0.0339827129177658,2.67329925494851,0.00770398866341317,1.09510030424578,1.02440696541942,1.17067212235149,"1.10 (1.02-1.17)","0.008",11657
"division","Khulna","divisionKhulna","Dhaka",0.0226777535562552,0.0357344415595649,0.634618943700412,0.525905541331225,1.02293684866756,0.953615990473976,1.09729682263593,"1.02 (0.95-1.10)","0.526",11657
"division","Mymensingh","divisionMymensingh","Dhaka",0.0711086496338304,0.0333668864186539,2.13111432519148,0.0334631786684805,1.07369787641234,1.00560149609731,1.14640554363377,"1.07 (1.01-1.15)","0.033",11657
"division","Rajshahi","divisionRajshahi","Dhaka",0.0566538192569652,0.0356324387191814,1.58995065433082,0.11234364160648,1.05828938756836,0.986770445216959,1.13499186489475,"1.06 (0.99-1.13)","0.112",11657
"division","Rangpur","divisionRangpur","Dhaka",0.0294495099987303,0.0367091353204745,0.802239272094892,0.422714690549198,1.02988743514125,0.958259682270998,1.10686920120454,"1.03 (0.96-1.11)","0.423",11657
"division","Sylhet","divisionSylhet","Dhaka",0.0816601039600787,0.0366600497660464,2.22749572030615,0.0262638322949665,1.08508693039216,1.00971742345104,1.16608233072149,"1.09 (1.01-1.17)","0.026",11657
"employment","Not working","employmentNot working","Not working",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"employment","Working","employmentWorking","Not working",-0.0574934715467995,0.0180839548472074,-3.17925321272729,0.00154835394115235,0.944128054062119,0.911188891821297,0.978257955587479,"0.94 (0.91-0.98)","0.002",11657
"employment","Not reported / not applicable","employmentNot reported / not applicable","Not working",-0.950112757714667,0.0683855605711472,-13.8934703434387,1.64307042269341e-38,0.386697417879007,0.338103927902269,0.442274935763289,"0.39 (0.34-0.44)","<0.001",11657
"husband_education","Higher","husband_educationHigher","Higher",NA,NA,NA,NA,1,NA,NA,"1.00 (reference)","",11657
"husband_education","Secondary","husband_educationSecondary","Higher",0.0741470844496934,0.0303496218781841,2.44309747077909,0.0148331696835004,1.07696519868093,1.01465568052757,1.14310111442612,"1.08 (1.01-1.14)","0.015",11657
"husband_education","Primary","husband_educationPrimary","Higher",0.133668710597856,0.031106367093974,4.2971495254986,2.00155668052639e-05,1.14301408845929,1.07528411998041,1.21501023044981,"1.14 (1.08-1.22)","<0.001",11657
"husband_education","No education","husband_educationNo education","Higher",0.133929241932206,0.0332824118830064,4.0240245329272,6.41100485125419e-05,1.14331191824025,1.07097809839824,1.22053116151038,"1.14 (1.07-1.22)","<0.001",11657
"husband_education","Not reported / not applicable","husband_educationNot reported / not applicable","Higher",-0.11260346601793,0.069861116637343,-1.61181886917822,0.107498244247104,0.893504894932289,0.778964177329564,1.02488794799892,"0.89 (0.78-1.02)","0.107",11657
